"state_id","state","month","year","upi_volume_mn","volume_contribution","upi_value_cr","value_contribution","source_file","source_format","month_num","year_month","time_id"
1,"ANDAMAN AND NICOBAR ISLANDS",2023-04-01,2023,1.6,0.02,334.49,0.02,"2023 apr.xlsx","old_state",4,"2023-04",1
1,"ANDAMAN AND NICOBAR ISLANDS",2023-05-01,2023,1.66,0.02,336.3,0.02,"2023 may.xlsx","old_state",5,"2023-05",2
1,"ANDAMAN AND NICOBAR ISLANDS",2023-06-01,2023,1.56,0.02,305.91,0.02,"2023 june.xlsx","old_state",6,"2023-06",3
1,"ANDAMAN AND NICOBAR ISLANDS",2023-07-01,2023,1.69,0.02,318.73,0.02,"2023 july.xlsx","old_state",7,"2023-07",4
1,"ANDAMAN AND NICOBAR ISLANDS",2023-08-01,2023,1.84,0.02,338.88,0.02,"2023 aug.xlsx","old_state",8,"2023-08",5
1,"ANDAMAN AND NICOBAR ISLANDS",2023-09-01,2023,1.87,0.02,347.87,0.02,"2023 sept.xlsx","old_state",9,"2023-09",6
1,"ANDAMAN AND NICOBAR ISLANDS",2023-10-01,2023,2.11,0.02,396.87,0.02,"2023 oct.xlsx","old_state",10,"2023-10",7
1,"ANDAMAN AND NICOBAR ISLANDS",2023-11-01,2023,2.22,0.02,427.62,0.02,"2023 nov.xlsx","old_state",11,"2023-11",8
1,"ANDAMAN AND NICOBAR ISLANDS",2023-12-01,2023,2.64,0.02,491.18,0.03,"2023 dec.xlsx","old_state",12,"2023-12",9
1,"ANDAMAN AND NICOBAR ISLANDS",2024-01-01,2024,2.65,0.02,493.51,0.03,"2024 jan.xlsx","old_state",1,"2024-01",10
1,"ANDAMAN AND NICOBAR ISLANDS",2024-02-01,2024,2.63,0.02,488.59,0.03,"2024 feb.xlsx","old_state",2,"2024-02",11
1,"ANDAMAN AND NICOBAR ISLANDS",2024-03-01,2024,2.95,0.02,525.36,0.03,"2024 mar.xlsx","old_state",3,"2024-03",12
1,"ANDAMAN AND NICOBAR ISLANDS",2024-04-01,2024,3,0.02,535.64,0.03,"2024 apr.xlsx","old_state",4,"2024-04",13
1,"ANDAMAN AND NICOBAR ISLANDS",2024-05-01,2024,3.01,0.02,544.81,0.03,"2024 may.xlsx","old_state",5,"2024-05",14
1,"ANDAMAN AND NICOBAR ISLANDS",2024-06-01,2024,2.9,0.02,489.58,0.02,"2024 jun.xlsx","old_state",6,"2024-06",15
1,"ANDAMAN AND NICOBAR ISLANDS",2024-07-01,2024,2.99,0.02,491.7,0.02,"2024 july.xlsx","old_state",7,"2024-07",16
1,"ANDAMAN AND NICOBAR ISLANDS",2024-08-01,2024,3,0.02,489.24,0.02,"2024 aug.xlsx","old_state",8,"2024-08",17
1,"ANDAMAN AND NICOBAR ISLANDS",2024-09-01,2024,3.03,0.02,490.42,0.02,"2024 sept.xlsx","old_state",9,"2024-09",18
1,"ANDAMAN AND NICOBAR ISLANDS",2024-10-01,2024,3.36,0.02,567.76,0.02,"2024 oct.xlsx","old_state",10,"2024-10",19
1,"ANDAMAN AND NICOBAR ISLANDS",2024-11-01,2024,3.4,0.02,564.94,0.03,"2024 nov.xlsx","old_state",11,"2024-11",20
1,"ANDAMAN AND NICOBAR ISLANDS",2024-12-01,2024,3.8,0.02,634.86,0.03,"2024 dec.xlsx","old_state",12,"2024-12",21
1,"ANDAMAN AND NICOBAR ISLANDS",2025-01-01,2025,3.73,0.02,629.14,0.03,"2025 jan.xlsx","old_state",1,"2025-01",22
1,"ANDAMAN AND NICOBAR ISLANDS",2025-02-01,2025,3.23,0.02,533.96,0.02,"2025 feb.xlsx","old_state",2,"2025-02",23
1,"ANDAMAN AND NICOBAR ISLANDS",2025-03-01,2025,3.66,0.02,597.85,0.02,"2025 mar.xlsx","old_state",3,"2025-03",24
1,"ANDAMAN AND NICOBAR ISLANDS",2025-04-01,2025,3.79,0.02,619.48,0.03,"2025 apr.xlsx","old_state",4,"2025-04",25
1,"ANDAMAN AND NICOBAR ISLANDS",2025-05-01,2025,3.95,0.02,630.83,0.03,"2025 may.xlsx","old_state",5,"2025-05",26
1,"ANDAMAN AND NICOBAR ISLANDS",2025-06-01,2025,3.23,0.02,481.96,0.02,"2025 jun.xlsx","old_state",6,"2025-06",27
1,"ANDAMAN AND NICOBAR ISLANDS",2025-07-01,2025,3.69,0.02,551.63,0.02,"2025 july.xlsx","old_state",7,"2025-07",28
1,"ANDAMAN AND NICOBAR ISLANDS",2025-08-01,2025,3.77,0.02,551.26,0.02,"2025 aug.xlsx","old_state",8,"2025-08",29
1,"ANDAMAN AND NICOBAR ISLANDS",2025-09-01,2025,3.67,0.02,561.59,0.02,"2025 sept.xlsx","old_state",9,"2025-09",30
1,"ANDAMAN AND NICOBAR ISLANDS",2025-10-01,2025,4.11,0.02,658.62,0.02,"2025 oct.xlsx","old_state",10,"2025-10",31
1,"ANDAMAN AND NICOBAR ISLANDS",2025-11-01,2025,4.22,0.02,662.1,0.03,"2025 nov.xlsx","old_state",11,"2025-11",32
1,"ANDAMAN AND NICOBAR ISLANDS",2025-12-01,2025,4.64,0.02,743.64,0.03,"2025 dec.xlsx","old_state",12,"2025-12",33
1,"ANDAMAN AND NICOBAR ISLANDS",2026-01-01,2026,4.69,0.02,766.8,0.03,"2026 jan.xlsx","old_state",1,"2026-01",34
1,"ANDAMAN AND NICOBAR ISLANDS",2026-02-01,2026,4.21,0.02,684.41,0.03,"2026 feb.xlsx","old_state",2,"2026-02",35
1,"ANDAMAN AND NICOBAR ISLANDS",2026-03-01,2026,4.55,0.02,731.89,0.02,"2026 mar.xlsx","new_district_total",3,"2026-03",36
1,"ANDAMAN AND NICOBAR ISLANDS",2026-04-01,2026,4.42,0.02,714.15,0.02,"2026 apr.xlsx","new_district_total",4,"2026-04",37
1,"ANDAMAN AND NICOBAR ISLANDS",2026-05-01,2026,4.34,0.02,692.06,0.02,"2026 may.xlsx","new_district_total",5,"2026-05",38
1,"ANDAMAN AND NICOBAR ISLANDS",2026-06-01,2026,4.09,0.02,618.81,0.02,"2026 jun.xlsx","new_district_total",6,"2026-06",39
2,"ANDHRA PRADESH",2023-04-01,2023,279.96,3.16,59444.05,4.2,"2023 apr.xlsx","old_state",4,"2023-04",1
2,"ANDHRA PRADESH",2023-05-01,2023,300.2,3.19,64986.38,4.36,"2023 may.xlsx","old_state",5,"2023-05",2
2,"ANDHRA PRADESH",2023-06-01,2023,295.26,3.16,62976.99,4.27,"2023 june.xlsx","old_state",6,"2023-06",3
2,"ANDHRA PRADESH",2023-07-01,2023,323.27,3.24,67084.86,4.37,"2023 july.xlsx","old_state",7,"2023-07",4
2,"ANDHRA PRADESH",2023-08-01,2023,349.58,3.3,69909.85,4.43,"2023 aug.xlsx","old_state",8,"2023-08",5
2,"ANDHRA PRADESH",2023-09-01,2023,336.99,3.19,67178.11,4.25,"2023 sept.xlsx","old_state",9,"2023-09",6
2,"ANDHRA PRADESH",2023-10-01,2023,361.83,3.17,71941.95,4.19,"2023 oct.xlsx","old_state",10,"2023-10",7
2,"ANDHRA PRADESH",2023-11-01,2023,376.19,3.35,74054.42,4.26,"2023 nov.xlsx","old_state",11,"2023-11",8
2,"ANDHRA PRADESH",2023-12-01,2023,437.75,3.64,84149.99,4.62,"2023 dec.xlsx","old_state",12,"2023-12",9
2,"ANDHRA PRADESH",2024-01-01,2024,465.48,3.81,90296.94,4.9,"2024 jan.xlsx","old_state",1,"2024-01",10
2,"ANDHRA PRADESH",2024-02-01,2024,462.35,3.82,88395.93,4.84,"2024 feb.xlsx","old_state",2,"2024-02",11
